企业名称,项目编号,项目名称,主管部门,推荐部门
上海市基础工程集团有限公司,,顶管减阻泥浆应用技术服务,杨浦区科学技术委员会,
上海惠志环保科技有限公司,,HZWGT型废气处理设备,金山区科学技术委员会,
上海天永智能装备股份有限公司,,柴油机生产线（WP10/WP9H/WP10H/WP10.5H）,嘉定区科学技术委员会,
上海星派自动化股份有限公司,,智能机器人包装生产线（XPZNBZ）,嘉定区科学技术委员会,
上海晨感智能科技有限公司,,分布式光纤线型感温火灾探测器MOSUN-D500,松江区科学技术委员会,
上海怡博船务有限公司,,YB-MGM模块式电缆/管道贯穿密封装置,杨浦区科学技术委员会,
上海静安热麦源科技发展有限公司,,17热麦智能无人烘焙机HF-WN-SV6,静安区科学技术委员会,
上海展鹏自控设备有限公司,,ZP300音叉开关,奉贤区科学技术委员会,
逸韩机械科技（上海）有限公司,,高强度防松螺母,闵行区科学技术委员会,
上海之江生物科技股份有限公司,,新型冠状病毒2019-nCoV核酸检测试剂盒（荧光PCR法）、NovelCoronavirus（2019-nCoV）RealTimeMultiplexRT-PCRKit（Detectionfor3Genes）,浦东新区科技和经济委员会,
上海力声特医学科技有限公司,,LSP-20B人工耳蜗声音处理器,浦东新区科技和经济委员会,
上海建工七建集团有限公司,,高空百米跨度多层钢连廊整体提升和平移关键技术服务,浦东新区科技和经济委员会,
上海建工五建集团有限公司,,溶洞地质条件下管廊结构施工技术服务,浦东新区科技和经济委员会,
西纯环保科技（上海）有限公司,,BIO-JET好氧处理系统,浦东新区科技和经济委员会,
上海贝思特电气有限公司,,BVT10402电梯智能终端管理显示模块,浦东新区科技和经济委员会,
上海辛帕工业自动化有限公司,,腹板工装SP-L-37,浦东新区科技和经济委员会,
上海凯众材料科技股份有限公司,,轻量化汽车踏板总成（多功能）,浦东新区科技和经济委员会,
上海南洋电工器材股份有限公司,,QSB-4B全自动并丝机,浦东新区科技和经济委员会,
上海富瀚微电子股份有限公司,,FH8626集成电路,徐汇区科学技术委员会,
上海移为通信技术股份有限公司,,无线数据收发器（GB100、GB200S）,闵行区科学技术委员会,
赛卓电子科技（上海）有限公司,,霍尔传感器（SC9641TS）,闵行区科学技术委员会,
上海华铭智能终端设备股份有限公司,,智能检票机HM-AGM,松江区科学技术委员会,
上海建为历保科技股份有限公司,,基于物联网的古塔监测预警系统,上海市临港地区开发建设管理委员会,
上海森亿医疗科技有限公司,,森亿基于人工智能的医院信息平台软件,上海市张江科学城建设管理办公室,
上海森亿医疗科技有限公司,,森亿临床科研一体化平台软件,上海市张江科学城建设管理办公室,
上海银赛计算机科技有限公司,,管理作战室报表系统[简称：管理作战室]V1.0,青浦区科学技术委员会,
上海思寒环保科技有限公司,,智能环卫管理系统,徐汇区科学技术委员会,
上海思寒环保科技有限公司,,环卫垃圾清运车管理系统,徐汇区科学技术委员会,
上海思寒环保科技有限公司,,基于大数据、云平台车辆油耗管理系统,徐汇区科学技术委员会,
上海青瞳视觉科技有限公司,,青瞳光学动捕系统应用软件V2.1,静安区科学技术委员会,
上海万位数字技术有限公司,,北斗多模集成定位终端（WW）,宝山区科学技术委员会,
上海君旗电子科技有限公司,,专用芯片NRT1107A,闵行区科学技术委员会,
上海中信信息发展股份有限公司,,中信档案馆馆藏资源管理系统（国产化版）,静安区科学技术委员会,
图萌（上海）科技有限公司,,药物生产GMP规范虚拟仿真实验教学系统,闵行区科学技术委员会,
上海斑彰信息技术有限公司,,斑彰MDA系统应用软件V8.0,普陀区科学技术委员会,
观洲微电子（上海）有限公司,,GZ8252HD/FHD分辨率显示驱动芯片,上海市张江科学城建设管理办公室,
上海泰琰信息科技有限公司,,泰琰-证券快速交易软件,上海市张江科学城建设管理办公室,
上海泰睿思微电子有限公司,,瞬态电压抑制二极管ESD5451N-2/TR,上海市临港地区开发建设管理委员会,
上海泛韬环境科技有限公司,,飞灰稳定化系统V1.0,闵行区科学技术委员会,
上海微择科技有限公司,,高性能的防污染颗粒的光罩盒,宝山区科学技术委员会,
上海韵焰智能科技有限公司,,炽燕声光视械智能控制集成系统,闵行区科学技术委员会,
上海瑞柯恩激光技术有限公司,,Ho:YAG激光治疗机（SRM-H2A、SRM-H1B、SRM-H2B、SRM-H3B）,上海市张江科学城建设管理办公室,
上海皓元生物医药科技有限公司,,AKT抑制剂（中间体）,上海市张江科学城建设管理办公室,
上海逍鹏生物科技有限公司,,外周血淋巴细胞培养基,闵行区科学技术委员会,
华东理工大学华昌聚合物有限公司,,MERICAN9505双层油罐树脂,奉贤区科学技术委员会,
